OrderNumber,OrderDate,ShipDate,CustomerID,EmployeeID,OrderTotal
1,02/09/2017,01/09/2017,1018,707,"12,751.85"
2,02/09/2017,04/09/2017,1001,703,816.00
3,02/09/2017,05/09/2017,1002,707,"11,912.45"
4,02/09/2017,04/09/2017,1009,703,"6,601.73"
5,02/09/2017,02/09/2017,1024,708,"5,544.75"
6,02/09/2017,06/09/2017,1014,702,"9,820.29"
7,02/09/2017,05/09/2017,1001,708,467.85
8,02/09/2017,02/09/2017,1003,703,"1,492.60"
9,02/09/2017,05/09/2017,1007,708,69.00
10,02/09/2017,05/09/2017,1012,701,"2,607.00"
11,03/09/2017,05/09/2017,1020,706,"11,070.65"
12,03/09/2017,06/09/2017,1024,706,72.00
13,03/09/2017,03/09/2017,1024,704,"7,545.00"
14,03/09/2017,04/09/2017,1013,704,"6,819.90"
15,03/09/2017,07/09/2017,1004,701,"2,974.25"
16,03/09/2017,07/09/2017,1001,707,"2,007.54"
17,03/09/2017,04/09/2017,1014,702,"4,834.98"
18,03/09/2017,04/09/2017,1016,708,807.80
19,03/09/2017,07/09/2017,1027,707,"15,278.98"
20,03/09/2017,03/09/2017,1011,706,"4,699.98"
21,04/09/2017,04/09/2017,1014,702,709.97
22,04/09/2017,08/09/2017,1026,702,"6,456.16"
23,04/09/2017,05/09/2017,1017,705,"16,331.91"
24,04/09/2017,06/09/2017,1010,705,864.85
25,04/09/2017,05/09/2017,1017,708,"10,142.15"
26,05/09/2017,09/09/2017,1013,707,"7,266.93"
27,05/09/2017,06/09/2017,1014,703,"8,002.75"
28,05/09/2017,09/09/2017,1004,703,335.68
29,05/09/2017,09/09/2017,1015,707,664.00
30,05/09/2017,09/09/2017,1010,708,"7,268.98"
31,06/09/2017,10/09/2017,1014,701,162.96
32,06/09/2017,10/09/2017,1012,704,"8,743.63"
33,06/09/2017,07/09/2017,1024,704,"2,369.53"
34,07/09/2017,08/09/2017,1010,705,411.28
35,07/09/2017,07/09/2017,1012,701,"5,095.15"
36,07/09/2017,08/09/2017,1007,705,7.45
37,08/09/2017,12/09/2017,1027,702,"1,718.78"
38,08/09/2017,12/09/2017,1017,702,700.00
39,08/09/2017,11/09/2017,1004,704,"20,221.75"
40,08/09/2017,08/09/2017,1017,703,"1,018.15"
41,08/09/2017,08/09/2017,1008,706,"1,723.42"
42,08/09/2017,11/09/2017,1012,704,"6,174.00"
43,08/09/2017,12/09/2017,1020,705,"7,140.68"
44,08/09/2017,09/09/2017,1005,701,"2,365.20"
45,09/09/2017,09/09/2017,1008,708,"17,889.25"
46,09/09/2017,10/09/2017,1018,707,78.00
47,09/09/2017,11/09/2017,1023,708,"5,820.00"
48,09/09/2017,12/09/2017,1004,707,"1,397.88"
49,09/09/2017,09/09/2017,1015,704,"1,254.50"
50,09/09/2017,13/09/2017,1002,704,477.94
51,09/09/2017,09/09/2017,1018,707,"1,200.00"
52,10/09/2017,12/09/2017,1001,701,261.90
53,10/09/2017,10/09/2017,1004,706,"19,615.00"
54,10/09/2017,10/09/2017,1007,707,72.00
55,10/09/2017,12/09/2017,1001,707,36.00
56,10/09/2017,13/09/2017,1014,702,"3,380.80"
57,10/09/2017,11/09/2017,1009,703,"4,214.70"
58,10/09/2017,14/09/2017,1006,701,"3,172.50"
59,10/09/2017,10/09/2017,1004,704,"15,504.60"
60,10/09/2017,14/09/2017,1013,708,"10,135.50"
61,10/09/2017,11/09/2017,1009,706,"4,372.25"
62,11/09/2017,14/09/2017,1003,703,"1,335.50"
63,11/09/2017,14/09/2017,1023,708,"7,032.00"
64,11/09/2017,15/09/2017,1027,708,"8,453.50"
65,11/09/2017,14/09/2017,1021,703,"13,550.10"
66,11/09/2017,12/09/2017,1026,703,"14,541.75"
67,11/09/2017,12/09/2017,1025,702,877.00
68,12/09/2017,13/09/2017,1027,702,273.54
69,12/09/2017,14/09/2017,1021,705,"3,034.25"
70,13/09/2017,17/09/2017,1016,706,595.20
71,13/09/2017,15/09/2017,1016,708,"1,849.80"
72,13/09/2017,17/09/2017,1003,708,"1,484.13"
73,13/09/2017,16/09/2017,1005,705,"7,159.38"
74,13/09/2017,14/09/2017,1002,703,"14,103.50"
75,13/09/2017,15/09/2017,1014,706,"6,691.70"
76,13/09/2017,16/09/2017,1012,703,868.15
77,13/09/2017,14/09/2017,1008,706,"2,157.90"
78,14/09/2017,17/09/2017,1007,701,"13,498.95"
79,14/09/2017,18/09/2017,1006,703,"7,507.00"
80,14/09/2017,17/09/2017,1025,708,"14,394.43"
81,14/09/2017,14/09/2017,1006,705,"1,018.50"
82,14/09/2017,17/09/2017,1005,701,"12,861.28"
83,14/09/2017,17/09/2017,1021,708,639.00
84,14/09/2017,14/09/2017,1022,707,"1,278.96"
85,14/09/2017,16/09/2017,1015,705,"1,807.60"
86,14/09/2017,17/09/2017,1009,701,"9,285.45"
87,14/09/2017,15/09/2017,1002,704,"6,121.00"
88,15/09/2017,18/09/2017,1026,707,960.30
89,15/09/2017,18/09/2017,1003,703,642.04
90,15/09/2017,16/09/2017,1017,706,57.00
91,15/09/2017,19/09/2017,1010,703,"14,834.25"
92,15/09/2017,18/09/2017,1011,704,"4,433.95"
93,15/09/2017,18/09/2017,1023,707,75.00
94,15/09/2017,15/09/2017,1010,701,"4,134.35"
95,16/09/2017,20/09/2017,1021,704,"9,959.15"
96,16/09/2017,17/09/2017,1025,703,"5,574.00"
97,16/09/2017,19/09/2017,1026,703,"2,584.95"
98,16/09/2017,17/09/2017,1009,706,"4,857.00"
99,16/09/2017,19/09/2017,1002,703,"5,078.00"
100,16/09/2017,17/09/2017,1002,707,"3,844.68"
101,16/09/2017,19/09/2017,1023,707,"1,389.64"
102,16/09/2017,18/09/2017,1010,705,"4,869.81"
103,16/09/2017,17/09/2017,1025,702,"9,373.54"
104,16/09/2017,16/09/2017,1017,708,"4,699.98"
105,17/09/2017,19/09/2017,1005,704,"9,345.15"
106,17/09/2017,21/09/2017,1020,708,128.00
107,17/09/2017,21/09/2017,1001,703,"1,240.40"
108,17/09/2017,20/09/2017,1004,701,88.00
109,17/09/2017,17/09/2017,1013,703,700.00
110,18/09/2017,20/09/2017,1015,708,641.96
111,18/09/2017,22/09/2017,1021,707,"11,811.15"
112,19/09/2017,20/09/2017,1009,703,414.00
113,19/09/2017,23/09/2017,1010,702,"5,744.10"
114,19/09/2017,23/09/2017,1011,706,353.25
115,20/09/2017,22/09/2017,1003,704,799.00
116,20/09/2017,22/09/2017,1004,701,"4,477.65"
117,21/09/2017,23/09/2017,1005,705,"10,579.00"
118,21/09/2017,23/09/2017,1021,708,110.58
119,21/09/2017,21/09/2017,1013,701,"17,607.00"
120,21/09/2017,22/09/2017,1024,702,"3,904.25"
121,21/09/2017,22/09/2017,1025,701,"2,737.83"
122,21/09/2017,25/09/2017,1009,707,"4,633.98"
123,21/09/2017,23/09/2017,1004,704,"4,134.23"
124,22/09/2017,24/09/2017,1007,705,"7,094.58"
125,22/09/2017,22/09/2017,1011,707,"3,951.90"
126,23/09/2017,25/09/2017,1016,708,"2,417.89"
127,23/09/2017,26/09/2017,1009,705,"8,383.15"
128,23/09/2017,27/09/2017,1022,708,377.33
129,23/09/2017,23/09/2017,1007,708,69.00
130,23/09/2017,25/09/2017,1011,705,"10,388.68"
131,23/09/2017,23/09/2017,1014,706,"7,164.00"
132,23/09/2017,26/09/2017,1007,705,"3,316.65"
133,23/09/2017,23/09/2017,1027,706,66.00
134,23/09/2017,25/09/2017,1003,703,"2,291.58"
135,24/09/2017,27/09/2017,1005,701,"4,404.15"
136,24/09/2017,27/09/2017,1008,707,"11,845.50"
137,24/09/2017,24/09/2017,1001,706,"1,235.65"
138,25/09/2017,28/09/2017,1001,702,"1,122.70"
139,25/09/2017,27/09/2017,1024,704,128.00
140,25/09/2017,25/09/2017,1002,706,"16,779.75"
141,25/09/2017,28/09/2017,1014,706,"3,696.04"
142,26/09/2017,30/09/2017,1018,702,"3,624.00"
143,26/09/2017,29/09/2017,1021,706,180.00
144,26/09/2017,30/09/2017,1018,704,"7,846.50"
145,27/09/2017,01/10/2017,1027,701,"4,260.00"
146,27/09/2017,27/09/2017,1021,708,358.00
147,27/09/2017,27/09/2017,1026,708,"4,178.73"
148,27/09/2017,01/10/2017,1027,704,"8,742.55"
149,28/09/2017,29/09/2017,1004,707,"5,298.00"
150,28/09/2017,28/09/2017,1024,701,"10,572.75"
151,28/09/2017,29/09/2017,1001,707,276.00
152,29/09/2017,03/10/2017,1017,704,"6,067.40"
153,30/09/2017,01/10/2017,1003,702,"1,328.95"
154,30/09/2017,03/10/2017,1001,703,"1,360.05"
155,30/09/2017,04/10/2017,1004,703,"1,044.00"
156,30/09/2017,01/10/2017,1004,703,"9,004.75"
157,30/09/2017,02/10/2017,1010,707,"16,926.10"
158,30/09/2017,04/10/2017,1021,705,320.10
159,30/09/2017,04/10/2017,1005,707,"1,104.60"
160,01/10/2017,01/10/2017,1021,706,"11,569.25"
161,01/10/2017,01/10/2017,1011,707,"3,088.00"
162,01/10/2017,02/10/2017,1021,704,"8,024.50"
163,01/10/2017,01/10/2017,1004,707,"8,359.59"
164,02/10/2017,05/10/2017,1021,707,"7,318.65"
165,03/10/2017,03/10/2017,1017,702,"21,674.63"
166,04/10/2017,07/10/2017,1022,706,"1,904.69"
167,04/10/2017,04/10/2017,1017,706,"7,386.94"
168,04/10/2017,06/10/2017,1027,706,"1,882.65"
169,04/10/2017,07/10/2017,1025,708,"2,181.92"
170,05/10/2017,05/10/2017,1004,704,"5,309.75"
171,05/10/2017,06/10/2017,1026,707,664.00
172,05/10/2017,08/10/2017,1018,704,"5,891.00"
173,05/10/2017,05/10/2017,1015,704,472.98
174,05/10/2017,09/10/2017,1006,703,"7,149.00"
175,05/10/2017,08/10/2017,1013,706,"15,909.66"
176,05/10/2017,05/10/2017,1025,701,"1,671.53"
177,05/10/2017,09/10/2017,1008,706,"5,755.00"
178,05/10/2017,08/10/2017,1022,702,927.25
179,05/10/2017,09/10/2017,1017,708,"10,745.71"
180,06/10/2017,09/10/2017,1015,708,760.00
181,06/10/2017,06/10/2017,1017,708,"5,759.58"
182,06/10/2017,07/10/2017,1002,702,"11,539.75"
183,06/10/2017,06/10/2017,1020,708,"4,517.19"
184,06/10/2017,10/10/2017,1023,707,"14,414.50"
185,06/10/2017,10/10/2017,1017,702,"5,938.00"
186,06/10/2017,06/10/2017,1002,704,321.38
187,07/10/2017,08/10/2017,1022,702,624.68
188,07/10/2017,08/10/2017,1002,706,"7,362.00"
189,07/10/2017,08/10/2017,1012,702,808.26
190,07/10/2017,11/10/2017,1024,708,197.88
191,07/10/2017,08/10/2017,1015,701,"1,552.43"
192,07/10/2017,10/10/2017,1022,702,"1,293.14"
193,07/10/2017,07/10/2017,1025,708,"6,137.90"
194,07/10/2017,09/10/2017,1017,708,"4,406.79"
