Date:	Time Sheet Report				
From:	3/1/2016				
To:	3/14/2016				
					
Work Date	Out	Reg Hrs	OT Hrs	Misc Hrs	Expenses
Contingent Worker:	Fahad Raza				
3/3/2016	6:00 PM	8.50	0.00	0.00	0.00
3/4/2016	6:00 PM	8.00	0.00	0.00	0.00
3/5/2016	6:00 PM	8.50	0.00	0.00	0.00
3/6/2016	6:00 PM	8.50	0.00	0.00	0.00
3/7/2016	3:30 PM	6.50	0.00	0.00	0.00
3/10/2016	6:00 PM	8.50	0.00	0.00	0.00
3/11/2016	6:00 PM	8.50	0.00	0.00	0.00
3/12/2016	6:00 PM	6.00	0.00	0.00	0.00
3/13/2016	6:00 PM	8.50	0.00	0.00	0.00
3/14/2016	6:00 PM	8.50	0.00	0.00	0.00
Number of Record(s):	10	80.00	0.00	0.00	0.00
Contingent Worker:	Dilshard Harris				
3/3/2016	6:00 PM	9.50	0.00	0.00	0.00
3/4/2016	6:00 PM	8.00	0.00	0.00	0.00
3/5/2016	6:00 PM	8.50	0.00	0.00	0.00
3/6/2016	5:00 PM	7.50	0.00	0.00	0.00
3/7/2016	3:00 PM	6.00	0.00	0.00	0.00
3/10/2016	6:00 PM	8.50	0.00	0.00	0.00
3/11/2016	6:00 PM	8.50	0.00	0.00	0.00
3/12/2016	6:00 PM	6.00	0.00	0.00	0.00
3/13/2016	6:00 PM	8.50	0.00	0.00	0.00
3/14/2016	6:00 PM	8.50	0.00	0.00	0.00
Number of Record(s):	10	79.50	0.00	0.00	0.00
Contingent Worker:	Rayyan Qaisar				
3/3/2016	6:00 PM	9.00	0.00	0.00	0.00
3/4/2016	6:00 PM	8.00	0.00	0.00	0.00
3/5/2016	6:00 PM	8.50	0.00	0.00	0.00
3/6/2016	5:00 PM	8.00	0.00	0.00	0.00
3/7/2016	3:00 PM	6.00	0.00	0.00	0.00
3/10/2016	6:00 PM	8.50	0.00	0.00	0.00
3/11/2016	6:00 PM	8.50	0.00	0.00	0.00
3/12/2016	6:00 PM	6.50	0.00	0.00	0.00
3/13/2016	6:00 PM	8.50	0.00	0.00	0.00
3/14/2016	6:00 PM	8.00	0.00	0.00	0.00
Number of Record(s):	10	79.50	0.00	0.00	0.00

